Date,Time,FeO,P_9-16_mm
3/22/2019,3:15,0.56,82.51
3/22/2019,15:15,0.68,
3/22/2019,17:15,,
3/22/2019,23:15,0.68,
3/23/2019,21:15,,
3/24/2019,1:15,,
3/24/2019,19:15,0.7,92.05
3/25/2019,5:15,,
3/25/2019,17:15,0.48,
3/26/2019,13:15,1.19,
3/26/2019,15:15,0.84,
3/26/2019,23:15,0.52,
3/27/2019,3:15,1.08,86.08
3/27/2019,19:15,0.8,88.87
3/28/2019,1:15,,
3/28/2019,7:15,1.2,
3/28/2019,11:15,0.84,85.36
3/28/2019,17:15,,
3/29/2019,9:15,,
3/29/2019,11:15,0.64,88.72
3/29/2019,13:15,,
3/29/2019,15:15,0.54,
3/29/2019,21:05,,
3/30/2019,5:15,,
3/30/2019,15:15,1.06,
3/21/2019,1:15,,
3/21/2019,3:15,0.7,89.73
3/21/2019,5:15,,
3/21/2019,7:15,0.52,
3/21/2019,9:15,,
3/21/2019,23:15,0.48,
3/22/2019,1:15,,
3/22/2019,7:15,0.76,
3/22/2019,21:15,,
3/23/2019,3:15,0.98,90.29
3/23/2019,7:15,0.84,
3/23/2019,13:15,,
3/23/2019,15:15,1.04,
3/23/2019,19:15,0.4,84.45
3/23/2019,23:15,0.92,
3/24/2019,11:15,0.36,83.33
3/24/2019,13:15,,
3/24/2019,17:15,0.66,
3/24/2019,21:15,,
3/24/2019,23:15,0.72,
3/25/2019,3:15,1.12,87.69
3/25/2019,19:15,0.52,88.35
3/26/2019,3:15,0.92,87.01
3/26/2019,7:15,0.94,
3/26/2019,21:15,,
3/21/2019,11:15,1.52,91.16
3/21/2019,15:15,0.88,
3/21/2019,21:15,,
3/22/2019,5:15,,
3/22/2019,11:15,0.74,86.68
3/23/2019,1:15,,
3/24/2019,3:15,0.96,87.57
3/24/2019,5:15,,
3/24/2019,9:15,,
3/24/2019,15:15,,
3/25/2019,7:15,0.84,
3/25/2019,9:15,,
3/25/2019,21:15,,
3/26/2019,5:15,,
3/26/2019,9:15,,
3/26/2019,17:15,,
3/27/2019,7:15,1.6,
3/27/2019,13:15,,
3/27/2019,15:15,0.72,
3/27/2019,23:15,0.72,
3/28/2019,5:15,1.32,
3/28/2019,13:45,,
3/28/2019,15:15,0.68,
