Date,Time,Blane_before_hpgr
3/21/2019,5:05:00,1721
3/21/2019,7:05:00,1721
3/21/2019,9:05:00,1691
3/21/2019,11:05:00,1691
3/21/2019,13:05:00,1721
3/21/2019,15:05:00,1721
3/21/2019,17:10:00,1691
3/21/2019,19:05:00,1660
3/21/2019,21:05:00,1598
3/21/2019,23:05:00,1598
3/22/2019,1:05:00,1660
3/22/2019,3:05:00,1807
3/22/2019,5:05:00,1565
3/22/2019,7:30:00,1691
3/22/2019,9:05:00,1691
3/22/2019,11:05:00,1750
3/22/2019,13:05:00,1598
3/22/2019,15:05:00,1532
3/22/2019,17:05:00,1750
3/22/2019,19:05:00,1660
3/22/2019,21:05:00,1598
3/22/2019,23:05:00,1660
3/23/2019,1:05:00,1598
3/23/2019,3:05:00,1721
3/23/2019,5:05:00,1721
3/23/2019,7:05:00,1691
3/23/2019,9:05:00,1629
3/23/2019,11:05:00,1598
3/23/2019,13:20:00,1691
3/23/2019,14:00:00,1598
3/23/2019,15:05:00,1779
3/23/2019,17:05:00,1721
3/23/2019,19:05:00,1691
3/23/2019,21:05:00,1660
3/23/2019,23:05:00,1660
3/24/2019,1:05:00,1629
3/24/2019,3:05:00,1598
3/24/2019,5:05:00,1691
3/24/2019,7:05:00,1750
3/24/2019,9:05:00,1598
3/24/2019,11:05:00,1598
3/24/2019,13:05:00,1598
3/24/2019,17:05:00,1691
3/24/2019,19:05:00,1598
3/24/2019,21:05:00,1598
3/24/2019,23:05:00,1691
3/25/2019,1:05:00,1660
3/25/2019,3:05:00,1629
3/25/2019,5:05:00,1629
3/25/2019,7:15:00,1629
3/25/2019,9:05:00,1629
3/25/2019,17:05:00,1660
3/25/2019,19:05:00,1629
3/25/2019,21:05:00,1598
3/25/2019,23:15:00,1660
3/26/2019,1:05:00,1532
3/26/2019,3:05:00,1629
3/26/2019,5:05:00,1598
3/26/2019,7:05:00,1598
3/26/2019,9:05:00,1565
3/26/2019,11:05:00,1598
3/26/2019,13:05:00,1629
3/26/2019,15:05:00,1691
3/26/2019,17:05:00,1691
3/26/2019,19:05:00,1660
3/26/2019,23:05:00,1660
3/27/2019,1:05:00,1660
3/27/2019,3:05:00,1691
3/27/2019,5:05:00,1598
3/27/2019,7:05:00,1629
3/27/2019,9:05:00,1750
3/27/2019,13:05:00,1598
3/27/2019,15:05:00,1598
3/27/2019,17:05:00,1629
3/27/2019,19:05:00,1598
3/27/2019,21:05:00,1598
3/27/2019,23:05:00,1660
3/28/2019,1:05:00,1565
3/28/2019,3:05:00,1598
3/28/2019,5:05:00,1629
3/28/2019,7:05:00,1660
3/28/2019,9:05:00,1629
3/28/2019,11:05:00,1499
3/28/2019,13:05:00,1565
3/28/2019,15:05:00,1565
3/28/2019,17:05:00,1565
3/28/2019,19:05:00,1565
3/28/2019,21:05:00,1565
3/28/2019,23:05:00,1598
3/29/2019,1:05:00,1565
3/29/2019,3:05:00,1660
3/29/2019,5:05:00,1691
3/29/2019,7:05:00,1660
3/29/2019,9:05:00,1691
3/29/2019,11:15:00,1660
3/29/2019,13:05:00,1532
3/29/2019,15:05:00,1532
3/29/2019,17:05:00,1565
3/29/2019,19:05:00,1565
3/29/2019,21:05:00,1598
3/29/2019,23:05:00,1598
3/30/2019,1:05:00,1565
3/30/2019,3:05:00,1565
3/30/2019,5:05:00,1598
3/30/2019,7:05:00,1598
3/30/2019,9:05:00,1565
3/30/2019,11:05:00,1565
3/30/2019,13:05:00,1565
3/30/2019,15:05:00,1565
3/30/2019,17:05:00,1660
3/30/2019,19:05:00,1598
3/30/2019,21:05:00,1660
3/30/2019,23:05:00,1532
3/31/2019,1:05:00,1499
3/31/2019,3:05:00,1598
3/31/2019,5:05:00,1598
3/31/2019,7:05:00,1598
3/31/2019,9:05:00,1532
3/31/2019,11:05:00,1532
3/31/2019,13:05:00,1660
3/31/2019,15:05:00,1660
3/31/2019,17:05:00,1691
3/31/2019,19:05:00,1565
3/31/2019,21:05:00,1598
3/31/2019,23:05:00,1532
4/1/2019,1:05:00,1565
4/1/2019,3:05:00,1532
4/1/2019,5:05:00,1629
4/1/2019,7:05:00,1598
4/1/2019,9:00:00,1598
4/1/2019,11:05:00,1565
4/1/2019,13:05:00,1629
4/1/2019,15:05:00,1629
4/1/2019,17:05:00,1660
4/1/2019,19:05:00,1565
4/1/2019,21:05:00,1750
4/2/2019,1:05:00,1629
4/2/2019,3:05:00,1532
4/2/2019,5:05:00,1532
4/2/2019,7:05:00,1499
4/2/2019,9:05:00,1499
4/2/2019,11:05:00,1532
4/2/2019,13:05:00,1598
4/2/2019,15:05:00,1660
4/2/2019,17:15:00,1629
4/2/2019,19:05:00,1598
4/2/2019,21:05:00,1629
4/2/2019,23:05:00,1660
4/3/2019,1:05:00,1598
4/3/2019,3:05:00,1598
4/3/2019,5:05:00,1532
4/3/2019,7:15:00,1532
4/3/2019,9:05:00,1598
4/3/2019,11:05:00,1565
4/3/2019,13:15:00,1629
4/3/2019,15:05:00,1660
4/3/2019,17:05:00,1598
4/3/2019,19:05:00,1660
4/3/2019,21:05:00,1598
4/3/2019,23:05:00,1598
4/4/2019,1:05:00,1660
4/4/2019,3:05:00,1691
4/4/2019,5:05:00,1660
4/4/2019,7:05:00,1629
4/4/2019,9:05:00,1598
4/4/2019,10:50:00,1532
4/4/2019,13:05:00,1691
4/4/2019,15:05:00,1660
4/4/2019,17:25:00,1629
4/4/2019,19:05:00,1565
4/4/2019,21:05:00,1660
4/4/2019,23:05:00,1721
4/5/2019,1:05:00,1691
4/5/2019,3:05:00,1691
4/5/2019,5:05:00,1660
4/5/2019,7:05:00,1565
4/5/2019,11:05:00,1598
4/5/2019,13:05:00,1660
4/5/2019,15:05:00,1629
4/5/2019,17:05:00,1660
4/5/2019,19:05:00,1629
4/5/2019,21:05:00,1721
4/5/2019,23:05:00,1691
4/6/2019,1:05:00,1691
4/6/2019,3:05:00,1629
4/6/2019,5:05:00,1779
4/6/2019,7:05:00,1750
4/6/2019,9:05:00,1721
4/6/2019,11:05:00,1721
4/6/2019,13:05:00,1565
4/6/2019,15:05:00,1721
4/6/2019,17:05:00,1660
4/6/2019,19:05:00,1629
4/6/2019,21:10:00,1660
4/6/2019,23:05:00,1691
4/7/2019,1:05:00,1660
4/7/2019,3:05:00,1660
4/7/2019,5:05:00,1750
4/7/2019,7:05:00,1779
4/7/2019,9:05:00,1779
4/7/2019,11:05:00,1691
4/7/2019,13:05:00,1565
4/7/2019,15:05:00,1660
4/7/2019,19:05:00,1721
4/7/2019,21:05:00,1629
4/9/2019,19:05:00,2143
4/9/2019,21:05:00,1691
4/9/2019,23:05:00,1721
4/10/2019,1:05:00,1629
