Date,710FN3_Damper(%),Water_Mix1(m3-h),Water_Mix2(m3-h),Killn_Speed(rpm),TG_Zone1_Temp(deg),710FN1_Damper(%),730FN1_Damper(%),Grate_Feed(ton),OffGas(deg),WF5(t-h),WF6(t-h),Grate_Speed(rpm)
22-03-2019,34.56,3.77,2.85,1.72,215.62,51,32.5,12383.61,827.97,14.54,19.03,6.2
23-03-2019,34.01,5.68,2.77,1.72,218.05,51.98,31.96,12413.71,847.22,17.42,16.49,5.98
24-03-2019,28.01,5.07,3.07,1.72,227.96,46.9,31.49,12277.02,844.5,17.58,18.08,5.98
25-03-2019,26.59,3.48,3.28,1.71,218.19,39.3,26.14,9942.13,834.06,10.72,11.61,4.72
26-03-2019,34.39,4.49,4.48,1.72,223.18,48.12,32.16,12960.56,805.14,17.68,17.76,6.13
27-03-2019,31.53,3.69,3.68,1.72,230.06,43.85,30.43,11750.39,840.66,11.45,11.58,5.49
28-03-2019,38.36,3.44,3.23,1.72,232.53,46.31,31.87,12608.12,844.28,18.81,17.56,5.77
29-03-2019,34.2,4.1,3.98,1.72,229.33,49.28,32.55,13349.91,815.68,17.7,21.29,6.06
30-03-2019,38.57,3.91,3.88,1.72,233.36,51.58,32.64,13318.52,810.32,18.51,18.55,6.04
31-03-2019,37,3.26,3.25,1.72,236.07,50,32.43,13130.03,819.98,18.45,18.51,5.99
01-04-2019,36.07,3.67,3.85,1.72,236.41,48.33,32.19,12756.55,815.3,18.72,20,6.02
02-04-2019,33.11,2.83,2.98,1.72,245.82,47.83,32.5,12812.5,828.08,17.14,18.36,5.91
03-04-2019,33.25,2.39,2.42,1.72,237.34,48,32.33,12841.49,818.18,19.95,20.06,5.93
04-04-2019,36.87,2.09,2.13,1.72,240.93,48,32.3,12940.89,801.47,20.25,17.25,5.92
05-04-2019,33.09,1.72,1.98,1.72,228.2,48,32.39,13043.02,789.33,16.29,18.89,5.88
06-04-2019,31.35,1.92,2.12,1.72,222.06,48,32.75,13149.89,791.81,18.31,19.59,5.96
07-04-2019,23.4,1.41,1.43,1.57,182.45,31.38,24.27,8711.55,776.22,11.44,12.32,4.06
08-04-2019,0,0.01,0,1,30.32,0,3,0,657.59,0,0,0.14
09-04-2019,8.98,0.28,0.38,0.97,60,8.09,5.02,1140.83,705.18,0.04,0.01,0.63
